"Feature name","Baseline status","Chrome Availability Status","Chrome Availability Version","Chrome Availability Date","Edge Availability Status","Edge Availability Version","Edge Availability Date","Firefox Availability Status","Firefox Availability Version","Firefox Availability Date","Safari Availability Status","Safari Availability Version","Safari Availability Date","Chrome WPT Stable Score","Edge WPT Stable Score","Firefox WPT Stable Score","Safari WPT Stable Score","Chrome Usage"
"Earum35","widely","unavailable","","","available","13","2023-06-14","available","23","2026-08-09","available","25","2027-01-22","0.384036145","0.695380774","0.515426497","0.14612868","0.6911"
"Ea52","widely","available","14","2023-08-30","available","3","2020-05-07","available","2","2020-01-20","available","13","2023-06-19","0.520357498","0.661316212","0.6","0.313304721","0.00001"
"Dolor28","widely","unavailable","","","unavailable","","","available","23","2026-08-09","available","3","2020-07-08","0.768545994","0.414953271","0.725703906","0.494079656","0.00001"
"Cumque62","widely","available","8","2021-11-21","available","8","2021-10-25","available","1","2020-01-22","available","7","2021-09-05","0.429359823","0.169491525","0.660869565","0.527696793","0.00001"
"Corporis57","newly","available","7","2021-07-19","unavailable","","","available","1","2020-01-22","available","2","2020-01-30","0.495384615","0.411240576","0.545908807","0.91916558","0.00001"
"Autem60","widely","available","4","2020-08-31","available","4","2020-07-20","unavailable","","","available","17","2024-09-09","0.326585695","0.916666667","0.290047393","0.548098434","0.0534"
"Anchor Positioning","newly","available","15","2023-11-21","available","13","2023-06-14","available","17","2024-07-20","unavailable","","","0.424796748","0.748730964","0.725790988","0.562737643","0"
"Accusamus48","widely","available","21","2025-09-01","unavailable","","","available","6","2021-03-02","available","8","2022-01-19","0.787878788","0.506659563","0.221921516","0.900943396","0"
"Aut78","limited","available","12","2023-01-26","unavailable","","","available","2","2020-01-20","available","14","2023-09-17","0.540141677","0.291814947","0.490566038","0.580392157","0.00001"
"Customized Built-in Elements","limited","available","24","2026-08-02","available","14","2023-09-30","available","16","2024-03-18","available","2","2020-01-30","0.542269188","0.894945491","0.768452983","0.629987908",""
"Delectus72","limited","available","20","2025-06-08","available","19","2025-07-19","available","3","2020-05-07","available","15","2024-01-03","0.18729097","0.62033195","0.773690078","0.498643516","0.00001"
"Deleniti21","limited","available","1","2020-01-13","available","20","2025-10-14","unavailable","","","available","14","2023-09-17","0.316201117","0.56496063","0.958815959","0.636672326","0"
"Dignissimos44","limited","available","15","2023-11-21","available","3","2020-05-07","available","3","2020-05-07","available","3","2020-07-08","0.405809129","0.783950617","0.726744186","0.217580505","0"
"Dolor16","limited","available","10","2022-06-05","available","7","2021-06-21","available","3","2020-05-07","available","15","2024-01-03","0.484018265","0.327170418","0.855648536","0.892778993","0"
"Doloremque46","limited","available","14","2023-08-30","available","11","2022-10-20","available","12","2023-01-18","available","8","2022-01-19","0.829015544","0.544969512","0.847744361","0.669156884","0.0871"
"Est58","limited","available","9","2022-03-16","available","7","2021-06-21","available","1","2020-01-22","available","14","2023-09-17","0.289550073","0.646788991","0.62797619","0.629820051","0.00001"
"Expedita38","limited","available","10","2022-06-05","available","7","2021-06-21","available","11","2022-10-20","unavailable","","","0.12535344","0.580318379","0.464307505","0.653172867","0.7674"
"File System Access","limited","available","9","2022-03-16","unavailable","","","available","2","2020-01-20","available","8","2022-01-19","0.429210134","0.371688742","0.217391304","0.733590734","0.1761"
"Invoker Commands","limited","available","18","2024-10-21","available","30","2029-03-13","available","29","2028-10-24","available","4","2020-11-24","0.458715596","0.023255814","0.372340426","0.798771121","0"
"Numquam56","limited","available","7","2021-07-19","available","19","2025-07-19","available","3","2020-05-07","available","7","2021-09-05","0.216936251","0.536293766","0.020961776","0.471378092",""
"Odit64","limited","available","2","2020-01-05","unavailable","","","available","24","2027-01-07","available","22","2026-04-17","0.509692132","0.930107527","0.372071228","0.002506266",""
"Qui27","limited","available","10","2022-06-05","available","9","2022-01-12","available","11","2022-10-20","available","3","2020-07-08","0.814489572","0.651162791","0.314685315","0.497917906","0.8678"
"Quia19","limited","unavailable","","","available","27","2028-03-16","available","4","2020-07-25","available","22","2026-04-17","0.797452229","0.418296089","0.432737535","0.420993228","0.4318"
"Quia65","limited","available","13","2023-05-12","available","6","2021-03-19","available","8","2021-11-25","available","7","2021-09-05","0.219761499","0.170947741","0.418115279","0.341935484","0"
"Quod40","limited","unavailable","","","available","14","2023-09-30","available","6","2021-03-02","available","11","2023-01-15","0.784313725","0.356946355","0.408304498","0.650875386","0"
"Quos79","limited","available","10","2022-06-05","available","13","2023-06-14","available","2","2020-01-20","available","1","2020-01-09","0.511627907","0.497725796","0.604668125","0.951111111",""
"Repudiandae34","limited","available","10","2022-06-05","available","10","2022-06-01","available","8","2021-11-25","available","10","2022-11-10","0.503584229","0.290974729","0.497969543","0.497771174","0.00001"
"Sapiente75","limited","available","8","2021-11-21","available","12","2023-02-01","available","28","2028-05-26","available","3","2020-07-08","0.292701279","0.906095552","0.48730065","0.386531365","0.8065"
"Shadow DOM","limited","available","4","2020-08-31","available","10","2022-06-01","available","3","2020-05-07","available","6","2021-04-18","0.453358209","0.368243243","0.238596491","0.535564854",""
"Veritatis30","limited","available","9","2022-03-16","available","7","2021-06-21","available","4","2020-07-25","available","10","2022-11-10","0.639894668","0.399048266","0.018218623","0.758522727",""
"View Transitions","limited","available","9","2022-03-16","unavailable","","","available","28","2028-05-26","available","7","2021-09-05","0.392394123","0.85770751","0.814861461","0.498371336",""
"Voluptate36","limited","available","20","2025-06-08","available","21","2026-03-12","available","5","2020-12-03","available","16","2024-04-16","0.591481704","0.570566038","0.706013363","0.49004329","0.1748"
"Ad50","","available","24","2026-08-02","available","14","2023-09-30","available","5","2020-12-03","available","30","2028-11-05","0.021363174","0.592814371","0.364377974","0.674631061","0.0785"
"After Split Feature 1","","unavailable","","","unavailable","","","unavailable","","","unavailable","","","","","","",""
"After Split Feature 2","","unavailable","","","unavailable","","","unavailable","","","unavailable","","","","","","",""
"Cross Document View Transitions","","available","2","2020-01-05","available","6","2021-03-19","available","4","2020-07-25","available","4","2020-11-24","0.371404399","0.487096774","0.535220126","0.431034483","0"
"Customizable Select","","available","9","2022-03-16","available","9","2022-01-12","available","6","2021-03-02","unavailable","","","0.654205607","0.795031056","0.477319588","0.756227758","0.6416"
"Dialog","","available","1","2020-01-13","available","3","2020-05-07","available","1","2020-01-22","available","25","2027-01-22","0.945812808","0.830721003","0.403017241","0.668523677",""
"Discouraged Feature","","available","29","2028-03-08","available","2","2020-01-12","unavailable","","","available","11","2023-01-15","0.151595745","0.586294416","0.525896414","0.291666667",""
"Doloribus71","","available","2","2020-01-05","available","10","2022-06-01","available","5","2020-12-03","unavailable","","","0.951515152","0.301983835","0.504632489","0.516998076",""
"Et61","","available","7","2021-07-19","available","8","2021-10-25","available","18","2024-10-25","available","22","2026-04-17","0.66002845","0.67400163","0.451588502","0.419722901",""
"Et66","","available","15","2023-11-21","available","12","2023-02-01","available","28","2028-05-26","available","8","2022-01-19","0.32942899","0.516784452","0.824074074","0.46237534","0.1974"
"Et73","","available","9","2022-03-16","available","25","2027-07-19","available","1","2020-01-22","unavailable","","","0.417982155","0.418374558","0.698863636","0.385687144","0.0806"
"Fugiat37","","available","22","2025-11-28","available","8","2021-10-25","available","24","2027-01-07","available","8","2022-01-19","0.502814259","0.092457421","0.479591837","0.721682848","0.00001"
"Fugit69","","available","5","2021-01-03","available","4","2020-07-20","available","26","2027-08-18","available","5","2021-02-08","0.098873592","0.163430421","0.410596026","0.653685675","0.00001"
"Inventore43","","available","5","2021-01-03","available","20","2025-10-14","available","25","2027-04-11","available","4","2020-11-24","0.105670103","0.64244186","0.408163265","0.678424938","0.6741"
"Molestiae77","","available","18","2024-10-21","unavailable","","","available","2","2020-01-20","available","1","2020-01-09","0.738304094","0.520231214","0.293981481","0.114893617","0.4926"
"Molestias63","","available","29","2028-03-08","unavailable","","","available","8","2021-11-25","available","2","2020-01-30","0.555425904","0.007853403","0.836633663","0.547404063","0.00001"
"New Feature","","unavailable","","","unavailable","","","unavailable","","","unavailable","","","0.506129597","0.730245232","0.16456759","0.306288032",""
"Omnis53","","available","4","2020-08-31","available","4","2020-07-20","available","8","2021-11-25","unavailable","","","0.891891892","0.334855403","0.710696339","0.54137931","0.0891"
"Qui54","","unavailable","","","available","14","2023-09-30","available","4","2020-07-25","available","3","2020-07-08","0.091764706","0.498532002","0.527841342","0.525573192","0.00001"
"Rem51","","available","4","2020-08-31","unavailable","","","available","1","2020-01-22","available","29","2028-06-19","0.920454545","0.108653846","0.844228095","0.571069182","0.2254"
"Repudiandae55","","available","2","2020-01-05","unavailable","","","available","1","2020-01-22","available","10","2022-11-10","0.685459941","0.363148479","0.875","0.270949721","0.00001"
"Tenetur70","","available","15","2023-11-21","available","6","2021-03-19","available","2","2020-01-20","available","1","2020-01-09","0.479213483","0.123209169","0.213309025","0.833613445","0.6555"
"Ut15","","available","4","2020-08-31","available","11","2022-10-20","available","5","2020-12-03","available","26","2027-04-14","0.502320784","0.65","0.002915452","0.271132376","0.355"
"Ut59","","available","17","2024-07-23","available","3","2020-05-07","available","2","2020-01-20","available","4","2020-11-24","0.077244259","0.607116921","0.342465753","0.420722135","0.00001"
"Voluptas18","","available","4","2020-08-31","available","3","2020-05-07","unavailable","","","available","5","2021-02-08","0.762037037","0.384615385","0.396923077","0.582352941","0.00001"
"Voluptas76","","available","27","2027-06-28","available","18","2025-01-25","available","5","2020-12-03","unavailable","","","0.73705834","0.150684932","0.446960667","0.606811146","0"
"WebUSB","","available","1","2020-01-13","available","12","2023-02-01","unavailable","","","available","3","2020-07-08","0.821428571","0.683624801","0.818181818","0.058373206","0.0148"
